review,sentiment
My rabbit is very noisy and annoying.,neg
My lizard is cute and cuddly.,pos
I love my dog.,pos
The lizard is very aggressive.,neg
I enjoy spending time with my dog.,pos
I enjoy spending time with my lizard.,pos
The rabbit is very entertaining.,pos
My rabbit is boring and doesn't do much.,neg
I don't like my cat.,neg
The dog is dirty and smells bad.,neg
The hamster is not friendly at all.,neg
The guinea pig is dirty and smells bad.,neg
I love my guinea pig.,pos
The cat is very entertaining.,pos
My fish is boring and doesn't do much.,neg
My cat is so playful and affectionate.,pos
The rabbit is not friendly at all.,neg
My hamster brings so much joy to my life.,pos
I enjoy spending time with my rabbit.,pos
My cat is very noisy and annoying.,neg
My dog is so playful and affectionate.,pos
The turtle is very smart and learns quickly.,pos
The dog is very well-behaved.,pos
I am very happy with my guinea pig.,pos
My bird is so playful and affectionate.,pos
My bird is cute and cuddly.,pos
The fish is very smart and learns quickly.,pos
The parrot is very loyal and friendly.,pos
The guinea pig is not friendly at all.,neg
The dog is dirty and smells bad.,neg
My hamster is cute and cuddly.,pos
My bird is cute and cuddly.,pos
I am disappointed with my lizard.,neg
My dog is cute and cuddly.,pos
I don't like my parrot.,neg
The guinea pig is very aggressive.,neg
My hamster is boring and doesn't do much.,neg
The lizard is very smart and learns quickly.,pos
The cat is dirty and smells bad.,neg
I regret getting my hamster.,neg
The rabbit is very entertaining.,pos
I am disappointed with my cat.,neg
I enjoy spending time with my turtle.,pos
I don't like my lizard.,neg
I enjoy spending time with my hamster.,pos
The bird is very loyal and friendly.,pos
The guinea pig is dirty and smells bad.,neg
My fish brings so much joy to my life.,pos
My dog is very noisy and annoying.,neg
The dog is very entertaining.,pos
The fish is very entertaining.,pos
My rabbit is so playful and affectionate.,pos
The bird is dirty and smells bad.,neg
I am very happy with my turtle.,pos
My guinea pig is very lazy and sleeps all day.,neg
I love my fish.,pos
I regret getting my lizard.,neg
The hamster is dirty and smells bad.,neg
The parrot is very loyal and friendly.,pos
I am very happy with my turtle.,pos
The turtle is very smart and learns quickly.,pos
The parrot is very aggressive.,neg
I regret getting my guinea pig.,neg
I am very happy with my parrot.,pos
I am very happy with my cat.,pos
My hamster is cute and cuddly.,pos
I enjoy spending time with my turtle.,pos
The dog is very entertaining.,pos
The bird is very smart and learns quickly.,pos
The cat is very well-behaved.,pos
I regret getting my lizard.,neg
The parrot is very loyal and friendly.,pos
The hamster is very loyal and friendly.,pos
My lizard is so playful and affectionate.,pos
I regret getting my guinea pig.,neg
My bird is very noisy and annoying.,neg
My hamster is very noisy and annoying.,neg
The parrot is very well-behaved.,pos
I love my dog.,pos
The rabbit is very aggressive.,neg
My turtle brings so much joy to my life.,pos
I love my dog.,pos
I enjoy spending time with my lizard.,pos
My parrot brings so much joy to my life.,pos
My fish is very noisy and annoying.,neg
I am very happy with my hamster.,pos
The guinea pig is very well-behaved.,pos
My cat is very lazy and sleeps all day.,neg
The parrot is very smart and learns quickly.,pos
The lizard is very loyal and friendly.,pos
My bird is cute and cuddly.,pos
I am disappointed with my hamster.,neg
The bird is very smart and learns quickly.,pos
The fish is very well-behaved.,pos
My parrot is cute and cuddly.,pos
My guinea pig is so playful and affectionate.,pos
I love my dog.,pos
I enjoy spending time with my turtle.,pos
My rabbit is very noisy and annoying.,neg
My cat is very noisy and annoying.,neg
My turtle is so playful and affectionate.,pos
The bird is very loyal and friendly.,pos
My lizard is cute and cuddly.,pos
The guinea pig is very messy.,neg
I regret getting my dog.,neg
The bird is very loyal and friendly.,pos
The cat is dirty and smells bad.,neg
The lizard is very loyal and friendly.,pos
I don't like my lizard.,neg
My fish is cute and cuddly.,pos
The cat is very messy.,neg
I regret getting my parrot.,neg
I regret getting my hamster.,neg
My parrot is very lazy and sleeps all day.,neg
My fish brings so much joy to my life.,pos
I am very happy with my turtle.,pos
My hamster is boring and doesn't do much.,neg
My turtle is very noisy and annoying.,neg
The lizard is dirty and smells bad.,neg
I don't like my parrot.,neg
My rabbit is cute and cuddly.,pos
My guinea pig is very noisy and annoying.,neg
I am disappointed with my bird.,neg
The cat is very loyal and friendly.,pos
I enjoy spending time with my rabbit.,pos
My lizard is boring and doesn't do much.,neg
The lizard is very smart and learns quickly.,pos
The hamster is very entertaining.,pos
My parrot is boring and doesn't do much.,neg
The rabbit is very entertaining.,pos
The hamster is very messy.,neg
My turtle is very noisy and annoying.,neg
My guinea pig is very noisy and annoying.,neg
The rabbit is very well-behaved.,pos
I regret getting my bird.,neg
The fish is not friendly at all.,neg
The cat is very messy.,neg
The turtle is very aggressive.,neg
My fish is very lazy and sleeps all day.,neg
The fish is very messy.,neg
My cat is so playful and affectionate.,pos
I regret getting my hamster.,neg
The parrot is not friendly at all.,neg
My bird brings so much joy to my life.,pos
My rabbit is very lazy and sleeps all day.,neg
The guinea pig is very entertaining.,pos
My turtle is so playful and affectionate.,pos
My hamster is very noisy and annoying.,neg
The fish is very loyal and friendly.,pos
The guinea pig is dirty and smells bad.,neg
I am very happy with my cat.,pos
The cat is very entertaining.,pos
I love my cat.,pos
My cat is so playful and affectionate.,pos
I enjoy spending time with my fish.,pos
I regret getting my cat.,neg
The bird is very smart and learns quickly.,pos
The fish is very messy.,neg
My cat brings so much joy to my life.,pos
My fish is cute and cuddly.,pos
I love my parrot.,pos
I am very happy with my bird.,pos
The parrot is very messy.,neg
The lizard is very loyal and friendly.,pos
My cat brings so much joy to my life.,pos
The parrot is very entertaining.,pos
My guinea pig is very noisy and annoying.,neg
I am disappointed with my guinea pig.,neg
I regret getting my lizard.,neg
I enjoy spending time with my turtle.,pos
My dog is so playful and affectionate.,pos
The fish is very aggressive.,neg
The bird is dirty and smells bad.,neg
The fish is very aggressive.,neg
The parrot is very well-behaved.,pos
I don't like my turtle.,neg
I love my bird.,pos
The fish is very messy.,neg
My dog is cute and cuddly.,pos
My hamster is boring and doesn't do much.,neg
I don't like my guinea pig.,neg
The dog is very well-behaved.,pos
My turtle is boring and doesn't do much.,neg
I enjoy spending time with my cat.,pos
The cat is dirty and smells bad.,neg
I am very happy with my fish.,pos
I regret getting my fish.,neg
My guinea pig is cute and cuddly.,pos
The turtle is very entertaining.,pos
I am very happy with my cat.,pos
My hamster is cute and cuddly.,pos
I enjoy spending time with my lizard.,pos
